dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,36.0,,,6.0,7.0,,,,7.0,12.0,, 
2,,,10.0,,,,,6.0,,,, 
3,,7.0,,,,5.0,11.0,,,,, 
4,25.0,,,,7.0,,,,8.0,8.0,, 
5,,,1.0,7.0,,,,4.0,,,, 
6,,,,,,5.0,12.0,,,,,20.0 
7,57.0,,,2.0,13.0,,,,16.0,12.0,, 
8,,,7.0,,,,,9.0,,,, 
9,,10.0,,,,6.0,8.0,,,,, 
10,13.0,3.0,,4.0,13.0,,,,9.0,8.0,27.0, 
11,,,10.0,,,,,6.0,,,, 
12,,4.0,,,,4.0,7.0,,,,5.0, 
13,8.0,,,,7.0,,,,9.0,5.0,, 
14,,,8.0,7.0,,,,7.0,,,, 
15,,20.0,,,,9.0,12.0,,,,22.0,9.0 
16,4.0,,,8.0,4.0,,,,8.0,12.0,, 
17,,,5.0,,,,,12.0,,,, 
18,,24.0,,,,6.0,10.0,,,,9.0, 
19,35.0,,,6.0,8.0,,,,11.0,14.0,, 
20,,,14.0,,,,,12.0,,,, 
21,,6.0,,,,14.0,5.0,,,,32.0, 
22,27.0,,,8.0,11.0,,,,12.0,11.0,, 
23,,,7.0,,,,,4.0,,,, 
24,,4.0,,,,5.0,8.0,,,,, 
25,7.0,,,,6.0,,,,5.0,22.0,, 
26,,,9.0,,,,,15.0,,,8.0, 
27,,3.0,,,,4.0,8.0,,,,8.0, 
28,24.0,,,3.0,8.0,,,,7.0,12.0,, 
29,,,4.0,,,,,11.0,,,,2.0 
30,,,,,,10.0,5.0,,,,,5.0 
31,4.0,,,,8.0,,,,,,,
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 14, 2018 at 00:05:19
  
